,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000
buffer_dec,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
correct_instr_reg,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000010,0000000000000010,0000000000000100,0000000000000100,0000000000000110,0000000000000110,0000000000001000,0000000000001000,0000000000001010,0000000000001010,0000000000001100,0000000000001100,0000000000001110,0000000000001110,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
d_0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
delay_vb_or_vt,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
do_nothing_reg,x,x,x,x,x,x,x,x,x,x,1,1,1,1,1,1,1,1,1,1,1,1,1,1,x,x,x
e_1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,x,x,x,x,x
e_2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,x,x,x
f_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
f_2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
halt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
halt_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,1,x,x,x,x,x,x,x
halt_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,1,x,x,x,x,x
halt_exec2,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,1,x,x,x
imm_val_dec,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,01101000,01101000,01100101,01100101,01101100,01101100,01101100,01101100,01101111,01101111,00001010,00001010,11111111,11111111,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx
imm_val_exec1,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,01101000,01101000,01100101,01100101,01101100,01101100,01101100,01101100,01101111,01101111,00001010,00001010,11111111,11111111,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx
instruction,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,1000011010000000,1000011010000000,1000011001010000,1000011001010000,1000011011000000,1000011011000000,1000011011000000,1000011011000000,1000011011110000,1000011011110000,1000000010100000,1000000010100000,1111111111111111,1111111111111111,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
is_flushing,0,0,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
is_frwd_mem_exec2,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is_frwd_mem_mis1_exec2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is_frwd_mem_mis2_exec2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is_geZero_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
is_geZero_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_geZero_exec2,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
is_jump_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
is_jump_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_jump_exec2,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
is_jump_wb,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is_jump_wb_2,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is_jump_wb_3,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is_jumping,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
is_lZero_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
is_lZero_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_lZero_exec2,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
is_load_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
is_load_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_load_exec2,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
is_mis_load_exec1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_mis_load_exec2,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
is_mis_st_aft_st_bottom_exec2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is_mis_st_aft_st_upper_exec2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is_mis_store_exec1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_mis_store_exec2,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
is_mis_store_then_mis_load_exec1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is_movh_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
is_movh_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_movl_dec,x,x,x,x,x,x,1,1,1,1,1,1,1,1,1,1,1,1,0,0,x,x,x,x,x,x,x
is_movl_exec1,x,x,x,x,x,x,x,x,1,1,1,1,1,1,1,1,1,1,1,1,0,0,x,x,x,x,x
is_nZero_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
is_nZero_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_nZero_exec2,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
is_store_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
is_store_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_store_exec2,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
is_sub_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
is_sub_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_zero_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
is_zero_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
is_zero_exec2,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
mem_overload_exec2,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
mis_store_then_mis_load_val_exec1,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
opcode_dec,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx
opcode_reg_exec1,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx
pc,0000000000000000,0000000000000000,0000000000000010,0000000000000010,0000000000000100,0000000000000100,0000000000000110,0000000000000110,0000000000001000,0000000000001000,0000000000001010,0000000000001010,0000000000001100,0000000000001100,0000000000001110,0000000000001110,0000000000010000,0000000000010000,0000000000010010,0000000000010010,0000000000010100,0000000000010100,00000000000101x0,00000000000101x0,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
pc_dec,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,0000000000000010,0000000000000010,0000000000000100,0000000000000100,0000000000000110,0000000000000110,0000000000001000,0000000000001000,0000000000001010,0000000000001010,0000000000001100,0000000000001100,0000000000001110,0000000000001110,0000000000010000,0000000000010000,00000000000100x0,00000000000100x0,0000000000010xx0,0000000000010xx0,0000000000010xx0
pc_exec1,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,0000000000000010,0000000000000010,0000000000000100,0000000000000100,0000000000000110,0000000000000110,0000000000001000,0000000000001000,0000000000001010,0000000000001010,0000000000001100,0000000000001100,0000000000001110,0000000000001110,0000000000010000,0000000000010000,00000000000100x0,00000000000100x0,0000000000010xx0
pc_exec2,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,0000000000000010,0000000000000010,0000000000000100,0000000000000100,0000000000000110,0000000000000110,0000000000001000,0000000000001000,0000000000001010,0000000000001010,0000000000001100,0000000000001100,0000000000001110,0000000000001110,0000000000010000,0000000000010000,00000000000100x0
pc_fetch2,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,0000000000000010,0000000000000010,0000000000000100,0000000000000100,0000000000000110,0000000000000110,0000000000001000,0000000000001000,0000000000001010,0000000000001010,0000000000001100,0000000000001100,0000000000001110,0000000000001110,0000000000010000,0000000000010000,0000000000010010,0000000000010010,0000000000010xx0,0000000000010xx0,0000000000010xx0,0000000000010xx0,xxxxxxxxxxxxxxxx
pc_wb,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,0000000000000010,0000000000000010,0000000000000100,0000000000000100,0000000000000110,0000000000000110,0000000000001000,0000000000001000,0000000000001010,0000000000001010,0000000000001100,0000000000001100,0000000000001110,0000000000001110,0000000000010000
ra_dec,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0000,0000,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx
ra_exec1,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0000,0000,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx
ra_exec2,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0000,0000,1111,1111,xxxx,xxxx,xxxx
rb_or_rt_dec,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx
rb_or_rt_exec1,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx
res_reg_exec2,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000001101000,0000000001101000,0000000001100101,0000000001100101,0000000001101100,0000000001101100,0000000001101100,0000000001101100,0000000001101111,0000000001101111,0000000000001010,0000000000001010,11111111xxxxxxxx,11111111xxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
rt_dec,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx
rt_exec1,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx
rt_exec2,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,xxxx,xxxx,xxxx
va_exec1,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
va_exec2,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
vb_or_vt_exec1,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
vb_or_vt_exec2,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
w_mem_en_dec,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
w_mem_en_exec1,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
w_mem_en_exec2,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
w_reg_en_dec,x,x,x,x,x,x,1,1,1,1,1,1,1,1,1,1,1,1,0,0,x,x,x,x,x,x,x
w_reg_en_exec1,x,x,x,x,x,x,x,x,1,1,1,1,1,1,1,1,1,1,1,1,0,0,x,x,x,x,x
w_reg_en_exec2,x,x,x,x,x,x,x,x,x,x,1,1,1,1,1,1,1,1,1,1,1,1,0,0,x,x,x
was_stall,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
was_stall2,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
wb_0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,x
